Overall W-L%, Home W-L%, Away W-L%
.407,.383,.432

Opponent, W-L%
ARI,.368
ATL,.429
CHC,.286
CIN,.571
COL,.421
HOU,.333
LAA,.000
LAD,.263
MIA,.714
MIL,.333
NYM,.333
OAK,.000
PHI,.500
PIT,.571
SEA,1.000
SFG,.421
STL,.571
TEX,.333
WSN,.333

gm#, date, location, opp, w/l, win, win ref, loss, loss ref
48,2018-05-20,away,PIT,W,Kirby Yates,/players/y/yateski01.shtml,Felipe Vazquez,/players/r/riverfe01.shtml
49,2018-05-21,away,WSN,L,Gio Gonzalez,/players/g/gonzagi01.shtml,Robbie Erlin,/players/e/erlinro01.shtml
50,2018-05-22,away,WSN,L,Sean Doolittle,/players/d/doolise01.shtml,Matt Strahm,/players/s/strahma01.shtml
51,2018-05-23,away,WSN,W,Tyson Ross,/players/r/rossty01.shtml,Erick Fedde,/players/f/feddeer01.shtml
52,2018-05-25,away,LAD,L,Ross Stripling,/players/s/stripro01.shtml,Clayton Richard,/players/r/richacl01.shtml
53,2018-05-26,away,LAD,W,Craig Stammen,/players/s/stammcr01.shtml,Daniel Hudson,/players/h/hudsoda01.shtml
54,2018-05-27,away,LAD,L,Walker Buehler,/players/b/buehlwa01.shtml,Adam Cimber,/players/c/cimbead01.shtml
55,2018-05-28,home,MIA,L,Caleb Smith,/players/s/smithca03.shtml,Eric Lauer,/players/l/lauerer01.shtml
56,2018-05-29,home,MIA,W,Craig Stammen,/players/s/stammcr01.shtml,Dan Straily,/players/s/straida01.shtml
57,2018-05-30,home,MIA,W,Matt Strahm,/players/s/strahma01.shtml,Brad Ziegler,/players/z/zieglbr01.shtml
58,2018-05-31,home,MIA,W,Jordan Lyles,/players/l/lylesjo01.shtml,Wei-Yin Chen,/players/c/chenwe02.shtml
59,2018-06-01,home,CIN,L,Tyler Mahle,/players/m/mahlety01.shtml,Walker Lockett,/players/l/lockewa01.shtml
60,2018-06-02,home,CIN,W,Eric Lauer,/players/l/lauerer01.shtml,Matt Harvey,/players/h/harvema01.shtml
61,2018-06-03,home,CIN,W,Tyson Ross,/players/r/rossty01.shtml,Luis Castillo,/players/c/castilu02.shtml
62,2018-06-04,home,ATL,W,Clayton Richard,/players/r/richacl01.shtml,Julio Teheran,/players/t/teherju01.shtml
63,2018-06-05,home,ATL,L,Sean Newcomb,/players/n/newcose01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
64,2018-06-06,home,ATL,W,Jose Castillo,/players/c/castijo03.shtml,Mike Foltynewicz,/players/f/foltymi01.shtml
65,2018-06-08,away,MIA,L,Caleb Smith,/players/s/smithca03.shtml,Eric Lauer,/players/l/lauerer01.shtml
66,2018-06-09,away,MIA,W,Craig Stammen,/players/s/stammcr01.shtml,Drew Rucinski,/players/r/rucindr01.shtml
67,2018-06-10,away,MIA,W,Clayton Richard,/players/r/richacl01.shtml,Jose Urena,/players/u/urenajo01.shtml
68,2018-06-11,away,STL,L,Jack Flaherty,/players/f/flaheja01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
69,2018-06-12,away,STL,W,Adam Cimber,/players/c/cimbead01.shtml,Miles Mikolas,/players/m/mikolmi01.shtml
70,2018-06-13,away,STL,W,Eric Lauer,/players/l/lauerer01.shtml,Luke Weaver,/players/w/weavelu01.shtml
71,2018-06-14,away,ATL,L,Anibal Sanchez,/players/s/sanchan01.shtml,Tyson Ross,/players/r/rossty01.shtml
72,2018-06-15,away,ATL,W,Clayton Richard,/players/r/richacl01.shtml,Sam Freeman,/players/f/freemsa01.shtml
73,2018-06-16,away,ATL,L,Sean Newcomb,/players/n/newcose01.shtml,Jordan Lyles,/players/l/lylesjo01.shtml
74,2018-06-17,away,ATL,L,Julio Teheran,/players/t/teherju01.shtml,Jose Castillo,/players/c/castijo03.shtml
75,2018-06-19,home,OAK,L,Lou Trivino,/players/t/trivilo01.shtml,Adam Cimber,/players/c/cimbead01.shtml
76,2018-06-20,home,OAK,L,Frankie Montas,/players/m/montafr02.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
77,2018-06-21,away,SFG,L,Madison Bumgarner,/players/b/bumgama01.shtml,Tyson Ross,/players/r/rossty01.shtml
78,2018-06-22,away,SFG,W,Clayton Richard,/players/r/richacl01.shtml,Chris Stratton,/players/s/stratch01.shtml
79,2018-06-23,away,SFG,L,Reyes Moronta,/players/m/moronre01.shtml,Adam Cimber,/players/c/cimbead01.shtml
80,2018-06-24,away,SFG,L,Ty Blach,/players/b/blachty01.shtml,Brad Hand,/players/h/handbr01.shtml
81,2018-06-25,away,TEX,L,Tony Barnette,/players/b/barneto01.shtml,Craig Stammen,/players/s/stammcr01.shtml
82,2018-06-26,away,TEX,W,Matt Strahm,/players/s/strahma01.shtml,Jake Diekman,/players/d/diekmja01.shtml
83,2018-06-27,away,TEX,L,Mike Minor,/players/m/minormi01.shtml,Clayton Richard,/players/r/richacl01.shtml
84,2018-06-29,home,PIT,L,Joe Musgrove,/players/m/musgrjo01.shtml,Eric Lauer,/players/l/lauerer01.shtml
85,2018-06-30,home,PIT,W,Joey Lucchesi,/players/l/lucchjo01.shtml,Trevor Williams,/players/w/willitr01.shtml
86,2018-07-01,home,PIT,L,Kyle Crick,/players/c/crickky01.shtml,Tyson Ross,/players/r/rossty01.shtml
87,2018-07-03,away,OAK,L,Emilio Pagan,/players/p/paganem01.shtml,Clayton Richard,/players/r/richacl01.shtml
88,2018-07-04,away,OAK,L,Lou Trivino,/players/t/trivilo01.shtml,Jose Castillo,/players/c/castijo03.shtml
89,2018-07-05,away,ARI,W,Eric Lauer,/players/l/lauerer01.shtml,Shelby Miller,/players/m/millesh01.shtml
90,2018-07-06,away,ARI,L,Zack Godley,/players/g/godleza01.shtml,Joey Lucchesi,/players/l/lucchjo01.shtml
91,2018-07-07,away,ARI,L,Randall Delgado,/players/d/delgara01.shtml,Tyson Ross,/players/r/rossty01.shtml
